,New DB,,,,,,Old DB,,,,todo
Step,Table Name,Column Name,Data Type,Nullable,"Max
Length",,Convert Type,Table Name,Column Name,Comments,
,RecruitersGroup,Id,int,NO,,,auto,,,"create record for each record in RecruitersGroup table where ProjectID is not null or exists related ProductsStock record where ProductId is not null 
or exists related [Kupat2].[dbo].Orders o on o.ProjectId>0 and o.RecruiterId = ps.ProductStockId or o.UserSource like Concat('recparam', STR(ps.ProductStockId))
*save the created id for Recruiter table",
,RecruitersGroup,Name,nvarchar,NO,200,,direct,Kupat1.RecruitersGroups,Name,,
,RecruitersGroup,ProjectId,int,NO,,,FK,NewDB.Projects,Id,"find created ProjectId by ProductId from related Kupat1.ProductsStock records, or by Kupat1.RecruirtesGroup.ProjectId",
,RecruitersGroup,DisplayInSite,bit,NO,,,const,,,1,
,RecruitersGroup,RecordStatus,int,NO,,,const,,,2(Accept),
,RecruitersGroup,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
,RecruitersGroup,StatusChangedBy,int,NO,,,const,,,-1,
,RecruitersGroup,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,RecruitersGroup,CreatedBy,int,NO,,,const,,,-1,
,RecruitersGroup,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,RecruitersGroup,UpdatedBy,int,NO,,,const,,,-1,
,Translations for RecruitersGroup,,,,,,,,,"take newDB.RecruitersGroup.Name for 'he',
",
,Recruiter,Id,int,NO,,,direct,Kupat1.ProductStock,ProductStockId,"create record for each record in ProductStock table where ProductId is not null
or exists related [Kupat2].[dbo].Orders o on o.ProjectId>0 and o.RecruiterId = ps.ProductStockId or o.UserSource like Concat('recparam', STR(ps.ProductStockId))",
,Recruiter,Name,nvarchar,NO,200,,direct,Kupat1.ProductStock,Name,,
,Recruiter,ProjectId,int,NO,,,FK,NewDb.Project,Id,Find the created record in Project table for ProductStock.ProductId,
,Recruiter,RecruiterGroupId,int,YES,,,FK,NewDb.RecruitersGroup,Id,Find the created record in RecruiterGroup table for ProductStock.GroupId,
,Recruiter,Phone,nvarchar,YES,15,,no-mapping,,,,
,Recruiter,Email,nvarchar,YES,100,,no-mapping,,,,
,Recruiter,DisplayDescription,nvarchar,YES,200,,no-mapping,,,,
,Recruiter,RecruitmentTarget,int,YES,,,direct,Kupat1.ProductStock,Price,40,
,Recruiter,DisplayInSite,bit,NO,,,expression,Kupat1.ProductStock,,case when Hide=0 or Hide_en=0 or Hide_fr=0 then 1 else 0 end,
,Recruiter,RecordStatus,int,NO,,,const,,,2(Accept),
,Recruiter,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
,Recruiter,StatusChangedBy,int,NO,,,const,,,-1,
,Recruiter,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,Recruiter,CreatedBy,int,NO,,,const,,,-1,
,Recruiter,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,Recruiter,UpdatedBy,int,NO,,,const,,,-1,
,Translations for Recruiter,,,,,,,,,"take Kupat1.ProductStock.Name for 'he',
take Kupat1.ProductStock.Name_en where is not null for 'en'
take Kupat1.ProductStock.Name_fr where is not null for 'fr'",
,LutMediaType,Id,int,NO,,,const,,,1,
,LutMediaType,Description,nvarchar,NO,100,,const,,,"""Image""",
,LutMediaType,IsSystemValue,bit,NO,,,const,,,1,
,LutMediaType,Id,int,NO,,,const,,,2,
,LutMediaType,Description,nvarchar,NO,100,,const,,,"""Video""",
,LutMediaType,IsSystemValue,bit,NO,,,const,,,1,
,LutPlatformType,Id,int,NO,,,const,,,1,
,LutPlatformType,Description,nvarchar,NO,100,,const,,,"""Desktop""",
,LutPlatformType,IsSystemValue,bit,NO,,,const,,,1,
,LutPlatformType,Id,int,NO,,,const,,,2,
,LutPlatformType,Description,nvarchar,NO,100,,const,,,"""Mobile""",
,LutPlatformType,IsSystemValue,bit,NO,,,const,,,1,
,LutPlatformType,Id,int,NO,,,const,,,3,
,LutPlatformType,Description,nvarchar,NO,100,,const,,,"""All""",
,LutPlatformType,IsSystemValue,bit,NO,,,const,,,1,
,PageDisplayTag,Id,int,NO,,,,,,,
,PageDisplayTag,PageSettingId,int,NO,,,,,,,
,PageDisplayTag,TagId,int,NO,,,,,,,
,PageDisplayTag,CreatedAt,datetime,NO,,,,,,,
,PageDisplayTag,CreatedBy,int,NO,,,,,,,
,PageDisplayTag,UpdatedAt,datetime,NO,,,,,,,
,PageDisplayTag,UpdatedBy,int,NO,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,LutProjectTag,Id,int,NO,,,direct,kupat1.Tags,TagId,,
